文章标题,发布日期,头条文章ID,文章链接,发布账号,产品品类,文章类型,标题结构模板,展现量,粉丝展现量,阅读量,粉丝阅读量,CTR(%),完读率(%),平均阅读时长(s),点赞数,评论数,转发量,分享量,收藏数,互动率(%),标题字数,当前阶段,是否限流,限流原因,表现分层,主因归因,辅因归因,可复用点,问题点,下次动作,建议改写标题,归因来源,复盘日期
格力美的空调建议买哪个？拆过几十台的老师傅说了大实话,2026-05-27 19:00:00,7644445315927376435,https://toutiao.com/i7644445315927376435/,牛科技,空调,选购横评,对比选择型,8417,7,854,2,10.0,-1.0,-1,6,1,0,9,27,5.04,26,已发布,正常,,点击强,标题强点击,['公式可复用'],对比选择型 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-28
买冰箱别只看容量品牌，单循环双循环三循环，90%的人搞错了,2026-05-26 19:00:00,7643864889349472783,https://toutiao.com/i7643864889349472783/,牛科技,冰箱,选购横评,其他,2655,16,169,0,6.0,24.63,125,7,0,0,4,11,13.02,29,已发布,正常,,普通,标题弱,,暂不作为核心公式复用，只保留为负样本或改题样本。,暂无明显硬伤，继续观察同类样本。,改标题再试,冰箱别急着买，先看懂这3个真正影响体验的参数,历史补标,2026-05-28
零嵌冰箱别乱买，底部散热和前置散热差在哪,2026-05-26 12:30:00,7643859054334427663,https://toutiao.com/i7643859054334427663/,牛科技,冰箱,选购横评,其他,1746,12,104,0,6.0,15.32,158,4,0,0,6,2,11.54,20,已发布,正常,,普通,标题弱,,暂不作为核心公式复用，只保留为负样本或改题样本。,暂无明显硬伤，继续观察同类样本。,改标题再试,冰箱别急着买，先看懂这3个真正影响体验的参数,历史补标,2026-05-28
开放式厨房选油烟机，别先问风量，先看烟道和静压,2026-05-25 14:49:52,7643706827137368627,https://toutiao.com/i7643706827137368627/,牛科技,油烟机,教程避坑,内幕避坑型,1680,8,61,0,4.0,22.64,189,4,1,0,15,5,40.98,23,已发布,正常,,普通,标题弱,,暂不作为核心公式复用，只保留为负样本或改题样本。,阅读承接偏弱，标题承诺和正文吸引力需要复核。,改标题再试,油烟机选购最容易踩的3个坑，卖场一般不会主动说,历史补标,2026-05-28
天热了别急着开空调，88%的散热片细菌超标，不是吓你,2026-05-24 12:00:00,7642959446083928627,https://toutiao.com/i7642959446083928627/,牛科技,空调,教程避坑,内幕避坑型,2447,33,76,0,3.0,32.76,119,1,0,0,6,3,13.16,26,已发布,正常,,普通,标题弱,,暂不作为核心公式复用，只保留为负样本或改题样本。,阅读承接偏弱，标题承诺和正文吸引力需要复核。,改标题再试,空调选购最容易踩的3个坑，卖场一般不会主动说,历史补标,2026-05-28
电视挂墙还是放电视柜？3个没人提的坑，装修前知道还不晚,2026-05-23 19:00:00,7642907196350628379,https://toutiao.com/i7642907196350628379/,牛科技,电视,教程避坑,内幕避坑型,9402,25,789,2,8.0,17.13,176,10,0,0,11,14,4.44,27,已发布,正常,,点击强,标题强点击,['公式可复用'],内幕避坑型 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-28
做十年电视评测，Mini LED和OLED差距不在亮度,2026-05-23 14:44:05,7642972960873022003,https://toutiao.com/i7642972960873022003/,牛科技,电视,选购横评,内幕视角型,4736,48,308,3,7.0,20.26,107,4,4,0,3,4,4.87,27,已发布,正常,,普通,标题弱,,暂不作为核心公式复用，只保留为负样本或改题样本。,暂无明显硬伤，继续观察同类样本。,改标题再试,做了十年电视评测，我发现差距藏在这3个细节里,历史补标,2026-05-28
零冷水热水器听起来很美，但这3种户型装了就后悔,2026-05-22 19:00:00,7642551908204298758,https://toutiao.com/i7642551908204298758/,牛科技,热水器,选购横评,其他,3484,29,118,0,3.0,30.3,159,1,1,0,5,1,6.78,23,已发布,正常,,承接强,内容承接强,['标题弱'],内容承接不错，但需要重新包装标题提高点击。,暂无明显硬伤，继续观察同类样本。,改标题再试,热水器别急着买，先看懂这3个真正影响体验的参数,历史补标,2026-05-28
洗烘一体机越来越便宜，便宜在哪？拆开看少了这个模块,2026-05-21 19:00:00,7642183495666483764,https://toutiao.com/i7642183495666483764/,牛科技,洗衣机,趋势科普,内幕视角型,2171,17,27,0,1.0,30.52,119,0,0,0,0,0,0.0,25,已发布,正常,,普通,标题弱,['选题过窄'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台给过展现但点击弱，标题缺少新信息差或利益点。,改标题再试,做了十年洗衣机评测，我发现差距藏在这3个细节里,历史补标,2026-05-28
油烟机25m³风量还是呛？最大静压才是排烟能力的真指标,2026-05-20 19:00:00,7641618464834060815,https://toutiao.com/i7641618464834060815/,牛科技,油烟机,选购横评,对比选择型,4636,23,193,2,4.0,14.85,177,1,0,0,9,9,9.84,27,已发布,正常,,普通,标题弱,,暂不作为核心公式复用，只保留为负样本或改题样本。,暂无明显硬伤，继续观察同类样本。,改标题再试,油烟机别急着买，先看懂这3个真正影响体验的参数,历史补标,2026-05-28
1.5匹空调，1000块和3000块差距在哪？冬天才是照妖镜,2026-05-19 19:00:00,7641251709896950307,https://toutiao.com/i7641251709896950307/,牛科技,空调,选购横评,反问悬念型,26667,95,2445,7,9.0,35.66,158,31,4,0,24,55,4.66,30,已发布,正常,,点击强,标题强点击,['公式可复用'],反问悬念型 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-28
冰箱保鲜7大技术拆开看，哪些是真功夫哪些是花架子,2026-05-18 23:18:34,7641250991807005236,https://toutiao.com/i7641250991807005236/,牛科技,冰箱,选购横评,内幕视角型,2282,28,2,0,0,78.33,352,0,0,0,0,0,0.0,24,已发布,正常,,普通,标题弱,['选题过窄'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台给过展现但点击弱，标题缺少新信息差或利益点。,改标题再试,做了十年冰箱评测，我发现差距藏在这3个细节里,历史补标,2026-05-28
冰箱保鲜7大黑科技拆开看，哪些是真功夫哪些是花架子,2026-05-18 19:00:00,7641048864836960831,https://toutiao.com/i7641048864836960831/,牛科技,冰箱,选购横评,内幕视角型,2299,94,4,2,0,27.25,65,1,0,0,0,1,50.0,25,已发布,正常,,普通,标题弱,['选题过窄'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台给过展现但点击弱，标题缺少新信息差或利益点。,改标题再试,做了十年冰箱评测，我发现差距藏在这3个细节里,历史补标,2026-05-28
海尔冰箱贵500块值不值？拆开503云溪给你看,2026-05-18 00:07:58,7640891352686936622,https://toutiao.com/i7640891352686936622/,牛科技,冰箱,选购横评,内幕视角型,10211,57,530,1,5.0,15.56,142,4,1,0,7,14,4.91,23,已发布,正常,,推荐强,平台愿意推,['内容承接强'],内幕视角型 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-28
美的555、容声556、海尔503 双系统冰箱核心技术拆解,2026-05-16 14:38:51,7640367499401298472,https://toutiao.com/i7640367499401298472/,牛科技,冰箱,选购横评,多品牌对决型,12532,63,704,2,6.0,18.77,159,7,2,0,28,30,9.52,29,已发布,正常,,推荐强,平台愿意推,['标题强点击'],多品牌对决型 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-28
